DATE,HIGH,LOW,OPEN,CLOSE,VOLUME
2024-08-20,9519.0,9045.0,9114.0,9486,1891.0
2024-08-21,9793.0,9400.0,9545.0,9582,2811.0
2024-08-22,9744.0,9348.0,9612.0,9689,2362.0
2024-08-23,9899.0,9494.0,9700.0,9821,999.0
2024-08-26,9900.0,9715.0,9850.0,9880,53.0
2024-08-27,9934.0,9787.0,9934.0,9785,35.0
2024-08-28,9930.0,9624.0,9700.0,9730,11.0
2024-08-29,9671.0,9515.0,9593.0,9600,13.0
2024-08-30,9812.0,9645.0,9707.0,9666,23.0
2024-09-03,9730.0,9355.0,9569.0,9663,13.0
2024-09-04,9500.0,9375.0,9500.0,9282,6.0
2024-09-05,9496.0,9399.0,9416.0,9539,6.0
2024-09-06,,,,9459,
2024-09-09,,,,9839,
2024-09-10,9726.0,9726.0,9726.0,9654,3.0
2024-09-11,10099.0,10018.0,10018.0,10115,4.0
2024-09-12,9895.0,9895.0,9895.0,9968,1.0
2024-09-13,10116.0,8320.0,8320.0,10079,2.0
2024-09-16,7849.0,7542.0,7690.0,7767,8493.0
2024-09-17,7778.0,7473.0,7703.0,7620,6229.0
2024-09-18,7847.0,7583.0,7623.0,7814,11843.0
2024-09-19,7904.0,7705.0,7796.0,7750,6001.0
2024-09-20,7807.0,7600.0,7735.0,7658,7013.0
2024-09-23,7949.0,7565.0,7602.0,7786,8558.0
2024-09-24,7929.0,7690.0,7785.0,7867,8515.0
2024-09-25,8049.0,7805.0,7851.0,7955,8326.0
2024-09-26,8796.0,7996.0,8000.0,8122,22154.0
2024-09-27,8370.0,8035.0,8078.0,8281,7951.0
2024-09-30,8299.0,7682.0,8299.0,7722,11870.0
2024-10-01,7830.0,7006.0,7722.0,7039,16564.0
2024-10-02,7332.0,6926.0,7081.0,7064,12946.0
2024-10-03,7188.0,6884.0,7030.0,7030,12133.0
2024-10-04,7126.0,6850.0,7080.0,7069,14465.0
2024-10-07,7059.0,6862.0,6987.0,6908,9771.0
2024-10-08,7231.0,6951.0,6970.0,7050,8375.0
2024-10-09,7442.0,7102.0,7123.0,7351,8067.0
2024-10-10,7565.0,7139.0,7350.0,7529,7631.0
