Date,HIGH,LOW,OPEN,CLOSE,VOLUME,DATE
2023-06-01,3047.0,3002.0,3017.0,3008,34422.0,2023-06-01
2023-06-02,3034.0,2991.0,3003.0,3026,25530.0,2023-06-02
2023-06-05,3065.0,3002.0,3020.0,3056,28784.0,2023-06-05
2023-06-06,3096.0,3040.0,3063.0,3045,52105.0,2023-06-06
2023-06-07,3109.0,3028.0,3038.0,3103,43640.0,2023-06-07
2023-06-08,3169.0,3090.0,3104.0,3149,26981.0,2023-06-08
2023-06-09,3182.0,3142.0,3162.0,3180,27194.0,2023-06-09
2023-06-12,3188.0,3129.0,3170.0,3136,17951.0,2023-06-12
2023-06-13,3261.0,3141.0,3141.0,3186,20201.0,2023-06-13
2023-06-14,3225.0,3142.0,3182.0,3189,22385.0,2023-06-14
2023-06-15,3236.0,3164.0,3200.0,3226,7851.0,2023-06-15
2023-06-16,3228.0,3171.0,3218.0,3188,5721.0,2023-06-16
2023-06-20,3192.0,3129.0,3192.0,3142,12149.0,2023-06-20
2023-06-21,3182.0,3104.0,3131.0,3164,4001.0,2023-06-21
2023-06-22,3166.0,3128.0,3157.0,3138,1663.0,2023-06-22
2023-06-23,3147.0,3109.0,3122.0,3123,2119.0,2023-06-23
2023-06-26,3233.0,3150.0,3150.0,3206,21.0,2023-06-26
2023-06-27,3217.0,3209.0,3217.0,3212,11.0,2023-06-27
2023-06-28,3258.0,3237.0,3242.0,3292,19.0,2023-06-28
2023-06-29,3253.0,3253.0,3253.0,3218,3.0,2023-06-29
2023-06-30,3324.0,3324.0,3324.0,3318,2.0,2023-06-30
2023-07-03,3306.0,3306.0,3306.0,3364,1.0,2023-07-03
2023-07-05,3356.0,3323.0,3341.0,3334,42.0,2023-07-05
2023-07-06,,,,3277,,2023-07-06
2023-07-07,3290.0,3290.0,3290.0,3274,3.0,2023-07-07
2023-07-10,3309.0,3290.0,3309.0,3299,2.0,2023-07-10
2023-07-11,,,,3296,,2023-07-11
2023-07-12,3305.0,3293.0,3293.0,3299,19.0,2023-07-12
2023-07-13,3268.0,3230.0,3268.0,3232,8.0,2023-07-13
2023-07-14,,,,3307,,2023-07-14
